track_id,artists,album_name,track_name,popularity,duration_ms,danceability,key,acousticness,liveness,tempo,track_genre
2xar08Fq5xra2KKZs5Bw9j,Ray Charles,"Ray Charles (aka: Hallelujah, I Love Her So)",I've Got a Woman,66,171466,0.556,9,0.833,0.258,199.373,piano
1Jw2m5Qdqk0EG94UjSrmmG,Norah Jones,Weihnachtslieder 2022,Christmas Calling (Jolly Jones),0,200461,0.43,8,0.463,0.0928,143.912,jazz
17A9cQdKaDYHaO0gAXswif,Porfi Baloa,Porfi Baloa,Ternura,33,242964,0.598,1,0.541,0.0482,109.888,salsa
5Iqh58mh9xHzOkXNorHibJ,Estela Nuñez,Estela Nuñez... Sus Primeras E Inolvidables Grabaciones,Ruega por Mí (Prega Per Me),30,201493,0.494,0,0.847,0.122,96.387,rock-n-roll
380vyl9xb7um0l5qIYyWeC,Luca;Joel Stewart,Overflow (feat. Joel Stewart),Overflow - feat. Joel Stewart,53,142105,0.603,9,0.567,0.0757,114.093,french
0RrR3wg4ezBVwm7lyeybir,Arijit Singh,Youngistaan,Suno- Na Sangemarmar,56,201675,0.658,0,0.494,0.378,119.98,pop-film
6rcvPsOgiwRTM4dTLSV8Jd,Mike Laure,15 Éxitos,La Secretaría,39,165198,0.817,0,0.628,0.068,117.267,rock-n-roll
3E5MhY69Vt98jPTcZES8RA,Tiken Jah Fakoly,Afrodance 2022,Alpha Conde,0,248320,0.726,10,0.311,0.0734,75.89,french
6tisytwaOaBA4CAZPPdlFP,Baby Do Brasil,Geração Pop,Menino do Rio,45,263733,0.38,0,0.73,0.31,152.498,r-n-b
6dPU6KFKAPoRDi2fI2TQkk,Macaroni Empitsu,ハッピーエンドへの期待は,裸の旅人,35,213382,0.677,7,0.127,0.0594,92.948,anime
76gRg3RyCTCijQ2La5vtns,Pense,"Realidade, Vida e Fé",Existência,34,192053,0.569,6,0.000154,0.173,112.012,hard-rock
5y3BFVnC2N2gdDYE6kcpVb,Gowry Lekshmi,Rathnamala,Ajitha Hare,44,174504,0.553,5,0.0117,0.162,84.954,malay
20uDfvpjbtEFz4AeC9O7AQ,Megadeth,Halloween Metal Nights,"The Sick, The Dying… And The Dead!",2,304053,0.303,5,0.00266,0.0707,88.536,alternative
5D8Z75wGgbvGJiYaNSSWvw,The Head And The Heart,Tek It - New Noise,Virginia (Wind in the Night),0,205293,0.265,7,0.00699,0.0523,136.075,folk
7MYwLsNvA6e9xCFuWY24qo,Aaron Smith;Luvli;Patrick Hagenaar,Dancin (Remixes) - EP1 (feat. Luvli),Dancin (feat. Luvli) - Patrick Hagenaar Colour Code Remix,21,266666,0.626,5,0.0299,0.648,126.047,chicago-house
4QLwmCTHxaLLLJoOFfz4f8,Pritam;KK,Crook (Original Motion Picture Soundtrack),Mere Bina - Unplugged,41,294760,0.405,2,0.593,0.383,77.56,indian
6VpGZH7B0CXQYGdMyUyuwM,Quantic;Anibal Velasquez,Magnetica,La Callejera,18,324960,0.847,2,0.00166,0.1,118.997,trip-hop
5eb9KjDxy61Y6AYcfirYNa,Jennifer Rostock,Ins offene Messer,Himalaya,40,218453,0.576,0,0.000658,0.0997,126.032,punk
7aFZCKEMHlANdvfocuE4Re,Static-X,Rock and Rap Workout,Skinnyman,21,220200,0.584,1,0.00118,0.137,91.391,industrial
7A4FSWQfxmDY2nqLRk4g8f,Anupam Roy;Rahat Fateh Ali Khan,October,Tab Bhi Tu,37,326635,0.264,11,0.876,0.118,175.633,songwriter
2tAeN2TKlQLOoSPXtARzBV,Van Halen,Van Halen (Remastered),Eruption - 2015 Remaster,65,102080,0.225,8,0.469,0.337,93.798,metal
6Sk0prnnRQ1SYTSDGxa92x,Seu Jorge,"Musicas para Churrasco, Vol.1 (Ao Vivo) (Delux Edition)",Pessoal Particular (Ao Vivo),47,387720,0.634,2,0.539,0.693,112.942,mpb
6OaVWaGfhXn70ZJfdVcabn,Travis Scott,ASTROWORLD,NO BYSTANDERS,73,218283,0.731,1,0.0204,0.411,147.045,house
4jxxZPY2LsyauOppSmMYZM,Balek,Ballermann Hits Party 2023,Monika die Domina,0,163714,0.713,9,0.0176,0.345,140.035,party
77tR4iQgyQTAnhhuPik3ZP,Escape the Fate,Ungrateful (Deluxe),One For the Money,65,199950,0.525,5,0.000328,0.0527,90.013,metalcore
3hDSiWsdRj4e6iDV9Pc3tq,Darius Rucker,Tailgate Country,Wagon Wheel,0,298400,0.535,9,0.46,0.142,148.121,country
3NNoH02GMs59C6Z7v6qLvv,Pierre's Pfantasy Club,G.T.B.,Got the Bug - Dub,15,295291,0.827,11,0.16,0.0731,130.797,chicago-house
6mDWvF0ewkcTtu78sfc5lX,Noxa,Grind Viruses,Sinetron Sucks,28,98826,0.313,2,2.19e-05,0.153,120.1,death-metal
7pPVeFFO5nh2sk4dqh3fAY,Patina Miller;Matthew James Thomas;Andrew Cekala;Ashton Woerz;The Players,Pippin (New Broadway Cast Recording),Finale,29,450773,0.348,10,0.536,0.148,145.891,show-tunes
3kCn3zYPp9suJLSZGM2Yma,Mabel,"Anímate, es viernes",Let Them Know,1,148773,0.725,9,0.0121,0.0796,124.981,house
2yfUcOamHo7O9CuQA0sW57,No Recomendable,Síndrome de Estocolmo,Su Segundo Nombre Era Porqué,36,232500,0.446,0,0.657,0.108,100.193,punk-rock
0LLAn8CfkDPvzcGpXiqGqh,Roni Size;Reprazent;DJ Die,New Forms (20th Anniversary Edition),Watching Windows - DJ Die Gnarly Vocal Mix,18,457746,0.634,7,0.0192,0.0741,169.879,drum-and-bass
4TuolvR6umOx58y53a9Vak,Feine Sahne Fischfilet,Sturm & Dreck,Ich mag kein Alkohol,37,215718,0.406,2,0.00113,0.0714,171.966,german
5DbkBDV6ol4GUj1lIpD3Mk,Nathália Braga,Profetizo Vida,Profetizo Vida,38,346002,0.418,2,0.278,0.0704,155.897,gospel
72RD8jifCUa7JtwQNSzadN,Morgan Evans,Burn Burn Burn - Hot Country Hits,Country Outta My Girl,0,202613,0.448,7,0.0174,0.347,187.813,country
1JjlEP76VzsKKBRa2JdvIy,Nikolai Erdenko,Лучшая цыганская музыка. Часть вторая,Только раз бывают в жизни…,0,225093,0.333,2,0.97,0.217,80.065,romance
5Q2JcngKRkAvJx4yhTlZBk,Kavinsky,Halloween & Chill,Nightcall,0,257320,0.537,9,0.00898,0.425,91.009,electronic
41aKdU4Eqr2aYFbSPT6GeS,Donna Summer,70s Christmas Party,Hot Stuff - Single Version,0,314760,0.823,0,0.0055,0.0707,120.471,disco
43zpjvbcrFKFxqm4qpt32E,DGHTR,Out In Space,Out In Space,32,127058,0.78,5,0.91,0.107,170.017,study
0e3yTHRm6szezE58oTf81t,Clean Bandit;A7S,Baddest of Them All,Everything but You,0,198014,0.679,6,0.031,0.0951,124.977,funk
7CVhwXEyCQl4CNDxirAtJA,Cybotron,Clear,Enter,13,338973,0.674,1,0.0392,0.181,110.437,detroit-techno
6ijPGzgs3jqHokPhkhPpMh,Projota;Nando Reis,A Saída Está Dentro,Homens De Bem,44,250116,0.678,7,0.155,0.0839,78.949,r-n-b
28cguPgj5JK79FsWCf93n1,Jimmy Eat World,Clarity: Phoenix Sessions,Table for Glasses,22,256147,0.574,2,0.019,0.103,122.02,power-pop
2DhcpitZoR2mDalUWFUbBG,Felix Da Housecat;Chuckie;Silvio Ecomo,The Glitz Part Deux Remix Edition,Silver Screen Shower Scene - Chuckie & Silvio Ecomo Dirty Acid Remix,16,349456,0.766,7,0.00106,0.0865,124.978,chicago-house
3FOaym5lHj9N5QcDIgQXQ0,Otto,Certa Manha Acordei De Sonhos Intranquilos,Janaina,39,280440,0.499,7,0.355,0.135,172.355,mpb
3WY1IbpIdlHNIKCtPz5ATb,Il Volo,Il Volo (International Version),E Piu’ Ti Penso,21,287106,0.235,2,0.928,0.111,88.812,opera
11EVeW30HHEMZZsWgWzdfN,Motionless In White,Graveyard Shift,Eternally Yours,59,312351,0.481,10,0.00113,0.107,94.948,metalcore
74KuTUcQ5BB9zSWn4cRNX7,Beat Oven,High Again,Three Little Beats,12,101559,0.827,11,0.138,0.0929,155.907,study
2EJmEYpbWh8E0rVbdVmVRi,Tijuana Panthers,Halfway to Eighty,Quantum Entenmann's,25,126560,0.547,11,0.028,0.0904,130.481,garage
424WY6p8kPClokqegSpJfV,Rob Zombie;Ozzy Osbourne,Release Your ANGER,Iron Head,0,251200,0.527,6,7.92e-05,0.705,102.036,industrial
6qkoo6SQru2khgh87tarNT,Anupam Roy,Dwitiyo Purush,Aamar Motey,39,223066,0.75,0,0.755,0.117,105.045,songwriter
7jb65juKqmYcQg5qXhJSVw,Talita Barreto,Vida Leve,Vida Leve,35,176417,0.605,9,0.295,0.0868,163.851,groove
3DpGyWrBsi29h0ee7KldAe,Elaine de Jesus;Vanilda Bordieri;Eliane Silva;Lydia Moisés;Suelen de Jesus;Célia Sakamoto;Elaine Martins;Shirley Carvalhaes,Elaine de Jesus - Manifestação da Glória (Ao Vivo),"Deus Tremendo (feat. Vanilda Bordieri, Eliane Silva, Lydia Moisés, Suelen de Jesus, Célia Sakamoto, Elaine Martins & Shirley Carvalhaes) - Ao Vivo",38,232146,0.575,10,0.256,0.88,109.963,gospel
1dvnUfL3Ne47QlSoIo8Y3a,Ewa Konstancja Bułhak,Bambukalambu,Lew to pech,31,105693,0.493,2,0.67,0.0364,175.498,disney
1yKah8BCP3Vgq2tPBOLKL0,John Mayall & The Bluesbreakers;Eric Clapton,Bluesbreakers,All Your Love - Stereo,57,212600,0.321,2,0.491,0.345,107.338,british
69RBhbgVjnfVzzUvFokYRC,Banda Autentica de Jerez,La Autentica de Jerez Zacatecas - 15 Exitos,24 Horas del Dia,48,172920,0.698,3,0.391,0.086,136.803,r-n-b
6khdcizmQfuCS9wuRiVTsl,Cidade Verde Sounds,Missão de Paz,Mensagem Antiga,38,224576,0.762,11,0.152,0.108,141.931,dub
0LRcXYhaWLqbs1wvSV0o9u,Arko,Baar Baar Dekho (Original Motion Picture Soundtrack),Dariya,67,217992,0.581,8,0.723,0.101,98.936,pop-film
50cqdAwLjPgMPoVly0hzlz,Washington Brasileiro,Fala pro Papai,Fala pro Papai,38,162132,0.768,1,0.358,0.254,133.058,forro
0vCZ5WKIXb6IGgDBgdawdw,Swattrex,Main Tera Chill,Main Tera Chill,43,317899,0.471,8,0.74,0.103,108.728,indian
0OQtMyzTMcvYtul4uGCJPb,Brock Ansiolitiko,Ver-S.O.S,De vuelta a casa,34,195941,0.661,8,0.32,0.0922,98.02,spanish
4pwcwsHlO2DEh5Eefo6Iie,Fish Leong,李宗盛的理性與感性作品音樂會,問,45,207600,0.493,11,0.698,0.695,139.943,mandopop
16dkWKIlBsfYTISCVuDs0w,Ron Pope,Whatever It Takes,A Drop In the Ocean,55,219480,0.484,5,0.0882,0.15,139.966,acoustic
2IsqKsbBPpPzzP9FhGoBPo,Andreas Gabalier,Da komm' ich her,Mit dir,31,200200,0.442,2,0.183,0.623,156.043,party
5C1Afe1ABbNGuaIR7ImmF6,Nikolay Kopylov,Golden Hits Of The Ancient Russian Romance Vol. 1,Only Once,0,186693,0.509,4,0.977,0.109,133.327,romance
0ENyfuMyjlMDbBomuGqWb1,Koo Koo Kanga Roo,Viral: Songs About Cats and Stuff,"I Spent $10,000 on My Cat's Birthday",17,184615,0.822,3,0.0222,0.0307,129.956,kids
1byhztoqgQERCSyFTvQsQe,Valery Obodzinsky,Velikie ispolniteli Rossii XX veka. Valeriy Obodzinskiy,Vostochnaja pesnja,29,209813,0.549,9,0.502,0.132,77.264,romance
61X5YcDmN21uunfiKirdxO,Cepeda,La Camisa Vieja,La Camisa Vieja,44,174760,0.322,4,0.0282,0.118,79.228,spanish
1rnsFy41deoAFKeTTsNjNU,Lamb of God,Omens,Gomorrah,53,252125,0.483,8,0.00176,0.183,147.111,groove
6pFjkMjATusw4VfpxZ6tAy,Soltan;Shaquille O'Neal,Dawn Of The Dead,Dawn Of The Dead - Radio Edit,41,222400,0.381,1,0.000198,0.0702,149.994,dubstep
3iGGFpSiPHCuTUCUvHloAb,Carl Craig,Café del Mar Vol. 24,The Melody - Versus Edit Version,15,208552,0.718,11,0.0123,0.0788,123.027,detroit-techno
0lx5rQiUNmW8fVWLgI8HlE,G.E.M.,讓世界暫停一分鐘,讓世界暫停一分鐘,57,232860,0.331,8,0.857,0.0897,148.937,mandopop
2QfiRTz5Yc8DdShCxG1tB2,Chuck Berry,Berry Is On Top,Johnny B. Goode,76,161560,0.534,10,0.741,0.307,167.983,rock-n-roll
0GcU3ZhlnF5k3vKjqPRifa,Soda Stereo,Dynamo (Remastered),Sweet Sahumerio - Remasterizado 2007,41,363360,0.634,7,0.00119,0.148,113.966,punk-rock
6T5hiZikP7CNI2uXdWYlCg,Joachim Pastor,Eternity,Millenium,53,421935,0.443,6,0.0372,0.0702,123.978,minimal-techno
5uHy68Q7ZWe8Qq9k7EAprS,Karan Aujla,Sheesha,Sheesha,72,160851,0.708,6,0.322,0.135,93.886,pop
3ZM4ooUW4wtbtVGaFPC1bk,Bharath Sajikumar,Nagavalli (Reprise Version),Nagavalli - Reprise Version,37,209250,0.343,5,0.916,0.0806,153.944,malay
6S3JlDAGk3uu3NtZbPnuhS,Badfinger,Straight Up (Remastered 2010 / Deluxe Edition),Baby Blue - Remastered 2010,67,217346,0.623,11,0.0189,0.0728,124.431,psych-rock
23MAPI806qjM6lAXFa5dcK,Oficina G3,Depois da Guerra,De Joelhos,38,319181,0.522,0,0.00107,0.147,95.025,gospel
076sWQZiNFZq605udzIw8N,Martha Reeves & The Vandellas,60s Christmas Party,(Love Is Like A) Heat Wave - Single Version,0,164560,0.406,5,0.464,0.472,166.499,soul
0ikz6tENMONtK6qGkOrU3c,Wham!,Make It Big,Wake Me Up Before You Go-Go,80,231333,0.62,0,0.271,0.0607,81.548,disco
74NANS3BFQRnpz3S0JVg5o,3 Doors Down,Emo Christmas 2022,It's Not My Time - Acoustic,0,238373,0.674,0,0.311,0.198,128.003,alt-rock
61n7TIudKqHdaIZwCIS8IL,Antonio Tarragó Ros,Taipero Poriahu,El Toro,42,163986,0.67,10,0.122,0.315,95.868,folk
4rOcKgf6mGYbXjvesaAVEN,Grupo Niche,35 Aniversario,El Coco,29,241000,0.842,2,0.693,0.0848,96.575,salsa
4nFXgBdbnvwxaSHKFLimML,Sam Smith,JULMYS,Have Yourself A Merry Little Christmas,0,170964,0.438,5,0.957,0.316,75.25,pop
5ywMdbYK6YThy10BMT7tBw,Cali Y El Dandee;Sebastian Yatra,Perreo Tenebroso Vol. 3,Locura,0,209440,0.758,8,0.0806,0.198,92.983,latino
30aM3vw1B8g3ReZInCc6DE,General Surgery,Necrology - Reissue,Crimson Concerto,13,209666,0.14,7,2.05e-05,0.209,93.912,grindcore
2jRLhJSvJQn0NqHshENHt1,Wisin & Yandel;Chris Brown;T-Pain,Del gusto de hermanos,Algo Me Gusta De Ti,0,274946,0.626,11,0.00291,0.0598,127.949,reggaeton
46OewgAALuHwCcedGRmv6l,Implore,Alienated Despair,Faculties of Time,12,188769,0.372,6,2.35e-06,0.392,93.978,grindcore
44DP3BsRE4KzuZB6BboL4h,Carlos Gardel,"Essential Classics, Vol. 9: Carlos Gardel (Remastered 2022)",Cambalache (Remastered 2022),19,182995,0.6,2,0.876,0.394,116.407,tango
1EuQFujqMzy76oZZ7R2xNO,Salman Elahi,Shaan,Pahadon Mein,57,225391,0.776,1,0.592,0.105,115.008,indian
1sb1ESPEywqFsEQLDkTDG1,Vic Vem,Medicinen,Fiskebyn,21,165956,0.816,11,0.0926,0.104,87.489,goth
7Iy6r0TWdhMUPfSspCGRKY,Damares,Apocalipse,A Batalha do Arcanjo,46,306173,0.645,1,0.42,0.285,141.05,gospel
1GU90z6vuJ8XtQu0XLzyDH,Michael Ball;Alfie Boe,Back Together,Let It Be Me,24,203253,0.337,4,0.797,0.148,90.013,show-tunes
3JCcBtwNldEBd3O4hqYDWI,Almighty;Manny Montes,Genelipsis,No Me Arrodillo,39,225500,0.81,11,0.102,0.113,164.151,latino
1A7HCMpZJkM0MciPld3ob4,Paulo Londra;Ed Sheeran,Your Perfect Soundtrack,Noche de Novela,1,191896,0.522,7,0.00208,0.0909,97.99,latin
4PRGxHpCpF2yoOHYKQIEwD,Led Zeppelin,Led Zeppelin IV (Deluxe Edition),Rock and Roll - Remaster,71,220560,0.317,9,0.000582,0.0891,169.613,hard-rock
4YFrH7oE7c35mJX3kAQbWb,=LOVE,全部、内緒。 (Special Edition),=LOVE,38,246546,0.415,10,0.0374,0.0594,158.048,j-rock
7rJrFX4RyhDJNV9nQIPw0y,Zé Henrique & Gabriel,Tá tudo OK Acústico,O que combina comigo é você,51,176866,0.669,6,0.448,0.472,131.996,sertanejo
2Bhqg1ONbtcFBTR96H7oQw,Cypress Hill,Stash,Illusions - Harpsichord Mix,61,209200,0.85,2,0.00943,0.101,90.961,hardcore
2rMpjMvi9zOuyEIqw1BF0N,Özdemir Erdoğan,Unutulmayan Şarkılar,İkinci Bahar,37,195026,0.406,7,0.853,0.194,138.129,turkish
6bfzJqCmmKyn7GQtgnfWd1,Giacomo Puccini;Renée Fleming;English Chamber Orchestra;Jeffrey Tate,Silvia Colloca - Sing Like An Italian,"La rondine, SC 83: Chi il bel sogno di Doretta",1,223314,0.234,5,0.97,0.108,85.418,opera
5l9NEMBpuF5mtjv4vO1Zoq,Dimension,Generator / Beg & Borrow,Generator,48,306206,0.405,5,0.0343,0.0988,173.985,drum-and-bass
1E16CnSPStnHdNLEO7cj8j,Tinariwen,Best Afrodance Tunes,Cler Achel,0,267533,0.685,2,0.506,0.069,98.612,blues
37LMtqQkT9aEVZEedBJfw5,Jorge Muñiz;Ana Cirré,Serenata Volumen 3 Confidencias De Amor,Confidencias De Amor - Piel Canela,33,299983,0.548,6,0.503,0.0943,95.002,rock-n-roll
2RAEtFZQd4TZexKgblZNgA,Wisin & Yandel;Anthony Santos,Última Misión Reggaeton,Noche De Sexo,0,205773,0.721,11,0.107,0.562,94.002,latino
1dcCbOhMl5LKAj27DrINGN,Surgeon,Midnight Club Tracks II,"Midnight Club Tracks II, Pt. 1",7,408358,0.695,10,0.000169,0.0437,133.989,detroit-techno
3O2hyG9su893phbDNmn5yu,Peter Gregson;Daniel Pioro;Grace Davidson;Clara Sanabras;Hannah Cooke,Classical Christmas,Taladh Chriosta,0,201651,0.0877,4,0.988,0.109,85.425,ambient
1Rw0Qt5vESmeQAt5SIgJxC,Raghu Dixit,Krishnarjuna Yudham,Urime Manase,44,277918,0.39,0,0.0632,0.383,68.439,indian
49FKW4e2yUqbKkzncXjjIH,Abayomy Afrobeat Orquestra;Otto,Abra Sua Cabeça,Mundo Sem Memória,20,256000,0.697,9,0.0557,0.0918,102.012,afrobeat
2UzTljfQR9QLGgpVWBunko,Don Omar,Halloween 2022 Perreo Vol. 5,Pobre Diabla,2,255680,0.741,5,0.217,0.0835,91.993,latin
7AGMxHs1bHNHLKAqOzeVZr,Jaymes Young,u don't deserve me,I'll Be Good,0,247346,0.393,7,0.7,0.0966,89.334,rock
5tsAOP03wpq2WehkxrAakt,Watchhouse,Haste Make / Hard Hearted Stranger,Ships Sail Away,24,216093,0.42,11,0.866,0.108,118.217,bluegrass
3DmHaJ9zYKj5Snos05lkVF,Rory Gallagher,Top Priority (Remastered 2017),Bad Penny,60,245377,0.252,2,0.0974,0.045,199.738,british
0i5eB2ygjiqAuz9kwYsYiK,Pranish VP,Arcade X Dil Ko Karaar Aaya,Arcade X Dil Ko Karaar Aaya,48,229590,0.376,6,0.837,0.0929,72.099,indian
72jbDTw1piOOj770jWNeaG,The Chainsmokers,Memories...Do Not Open,Paris,74,221506,0.653,2,0.0215,0.0939,99.99,dance
30AnNG3dFbHLQuSbIVWEbF,Aries,DITTO,DITTO,50,150322,0.645,4,0.524,0.161,92.977,sad
6EfBMJQwe2xLgldra6DaYp,6ix9ine,YAYA,YAYA,57,149857,0.672,11,0.00289,0.199,105.043,emo
4bh9zPGpEX1yl9Do6rkhHr,Shinedown,Rock Brandneu,Planet Zero,0,222738,0.416,9,2.35e-05,0.473,157.925,alternative
51bylzFSkrMp9kwmMtzN2X,Herman's Hermits,Herman's Hermits,The End of the World - 1997 Remaster,41,180226,0.429,5,0.864,0.0878,90.004,rockabilly
1ERfTJTzG2zqEYKf4KXjZy,Ferrugem,Seja o que Deus quiser,Eu juro,48,200949,0.634,7,0.786,0.141,147.86,pagode
3YoXksESEwIkPsH1gZBq4r,COUCOU CHLOE,NOBODY,NOBODY,52,116756,0.844,11,0.0905,0.0839,110.988,club
6sZxfH5IdFCklZ26LcylzS,DJ Baby Anne,Bass Switch,Thumper,11,174993,0.79,7,0.000185,0.0882,131.98,breakbeat
